admin.common.OrderOption,Cart Upsell,1
admin.common.OrderTotal,Order Total,1
admin.common.PatchInfo,Patch Information,1
admin.common.PaymentMethodErrorPrompt,Payment method is required,1
admin.common.Percent,Percent,1
admin.common.PermissionDeniedUC,PERMISSION DENIED,1
admin.common.postalcodeerrormessage,Please enter your postal code in the following format:,1
admin.common.Price,Price,1
admin.common.Process,Process,1
admin.common.processing,Processing,1
admin.common.Product,Product,1
admin.common.ProductFields,Product Fields,1
admin.common.ProductID,Product ID,1
admin.common.ProductName,Product Name,1
admin.common.Products,Products,1
admin.common.Published,Published,1
admin.common.Quantity,Quantity,1
admin.common.Receipt,Receipt,1
admin.common.Refund,Refund,1
admin.common.Reset,Reset,1
admin.common.ResetCache,Refresh Store,1
admin.common.ResetPassword,Reset Password,1
admin.common.ReviewLogStatus,"Please review the log status shown below, and then test your store web site, to double check that the import worked properly",1
admin.common.ReviewUpload,Review Upload,1
admin.common.SalePrice,Sale Price,1
admin.common.Save,Save,1
admin.common.SaveAndClose,Save and Close,1
admin.common.Search,Search,1
admin.common.Section,Department,1
admin.common.SecurityException,Security Exception. Not Allowed,1
admin.common.Select,Select,1
admin.common.Shipping,Shipping,1
admin.common.ShippingStatus,Shipping Status,1
admin.common.Size,Size,1
admin.common.skin,Skin,1
admin.common.SKU,SKU,1
admin.common.Store,Store,1
admin.common.StoreName,Store Name,1
admin.common.Submit,Submit,1
admin.common.TaxRate,Tax Rate,1
admin.common.topic,Topic,1
admin.common.TopicPageTitlePrompt,Please enter the topic page title,1
admin.common.UnableToRetrieveData,Unable to retrieve data.,1
admin.common.UnnamedVariant,(Unnamed Variant),1
admin.common.unspecified,Any,1
admin.common.Update,Update,1
admin.common.Updated,Updated,1
admin.common.UpdateFailed,Update Failed,1
admin.common.Upload,Upload,1
admin.common.ValidatorMessage,!!,1
admin.common.ValidDollarAmountPrompt,"Please enter a valid dollar amount, e.g. 10.00 without the leading $ sign!",1
admin.common.ValidIntegerNumberPrompt,"Please enter a valid integer number, e.g. 250!",1
admin.common.Value,Value,1
admin.common.Variant,Variant,1
admin.common.VariantID,Variant ID,1
admin.common.VariantName,Variant Name,1
admin.common.VariantPricePrompt,Please enter the variant price,1
admin.common.Variants,Variants,1
admin.common.VariantSKUSuffix,Variant SKU Suffix,1
admin.common.VersionInfo,Version Information,1
admin.common.View,View,1
admin.common.ViewedCreditCard.Success,Viewed Credit Card Success,1
admin.common.ViewImportLog,{0}View Import Log{1},1
admin.common.viewrealtimeshippingmethods,View Real-time Shipping Methods,1
admin.common.viewshippingmethods,View Shipping Methods,1
admin.common.viewshippingzones,View Shipping Zones,1
admin.common.Weight,Weight,1
admin.common.WholeNumber,Value must be a whole number,1
admin.common.WidthError,"Width must be in Decimal Format, such as 1 or 12.75<br />",1
admin.common.Yes,Yes,1
admin.countries.Country,Country:,1
admin.countries.FillInISO,Fill in ISO!!:,1
admin.countries.FirstPage,<< First Page,1
admin.countries.LastPage,Last Page >>,1
admin.countries.NumericISOCode,Numeric ISO Code:,1
admin.countries.PostalCodeExample,Postal Code Example:,1
admin.countries.PostalCodeRegex,Postal Code Regex:,1
admin.countries.PostalCodeRequired,Postal Code Required:,1
admin.countries.Published,Published:,1
